cd-pc  318.2    1.7330              SOURCE3      84	
cd-ss  265.8    1.7562      SOURCE3_SOURCE5    2011	 0.0134
cd-sy  247.7    1.7839         CORR_SOURCE5      73	 0.0082
ce-ce  382.8    1.4574      SOURCE1_SOURCE5    1000	 0.0092
ce-cf  538.6    1.3509      SOURCE1_SOURCE5    1908	 0.0059
ce-cg  420.9    1.4270      SOURCE1_SOURCE5     238	 0.0053
ce-ch  415.6    1.4310              SOURCE1      22	
ce-cl  294.9    1.7641      SOURCE4_SOURCE5      90	 0.0111
ce-cx  333.4    1.5030               5/2017      26	 0.0077
ce-cy  319.8    1.5170               5/2017      36	 0.0052
ce-h4  337.8    1.0916         CORR_SOURCE5     315	 0.0033
ce-ha  342.5    1.0883      SOURCE3_SOURCE5    2751	 0.0014
ce-n1  536.5    1.3111         CORR_SOURCE5      16	 0.0049
ce-n2  582.4    1.2874      SOURCE1_SOURCE5     896	 0.0038
ce-n   369.7    1.4242         CORR_SOURCE5     209	 0.0059
ce-na  373.6    1.4209      SOURCE4_SOURCE5      11	 0.0050
ce-ne  406.9    1.3942      SOURCE3_SOURCE5      69	 0.0151
ce-nf  564.4    1.2964         CORR_SOURCE5     101	 0.0097
ce-nh  412.3    1.3901         CORR_SOURCE5     300	 0.0133
ce-oh  401.6    1.3502         CORR_SOURCE5      58	 0.0102
ce-os  374.9    1.3710         CORR_SOURCE5      96	 0.0128
ce-p2  259.1    1.8140              SOUECE3       1	
ce-pe  256.5    1.8180              SOURCE3       8	 0.0108
ce-px  254.6    1.8210              SOURCE3       6	 0.0046
ce-py  264.5    1.8056      SOURCE3_SOURCE5      22	 0.0142
ce-s   324.5    1.6800              SOUECE3       1	
ce-ss  249.3    1.7814      SOURCE4_SOURCE5      56	 0.0098
ce-sx  227.2    1.8185      SOURCE3_SOURCE5      30	 0.0101
ce-sy  245.1    1.7881      SOURCE3_SOURCE5      41	 0.0169
c -f   387.9    1.3250              SOURCE2       6	 0.0147
cf-cf  382.8    1.4574      SOURCE1_SOURCE5    1000	 0.0092
cf-cg  415.6    1.4310              SOURCE1      22	
cf-ch  420.9    1.4270      SOURCE1_SOURCE5     238	 0.0053
cf-h4  337.8    1.0916         CORR_SOURCE5     315	 0.0033
cf-ha  342.5    1.0883      SOURCE3_SOURCE5    2751	 0.0014
cf-n1  536.5    1.3111         CORR_SOURCE5      16	 0.0049
cf-n2  582.4    1.2874      SOURCE1_SOURCE5     896	 0.0038
cf-n   369.7    1.4242         CORR_SOURCE5     209	 0.0059
cf-ne  564.4    1.2964         CORR_SOURCE5     101	 0.0097
cf-nf  406.9    1.3942      SOURCE3_SOURCE5      62	 0.0156
cf-nh  412.3    1.3901         CORR_SOURCE5     300	 0.0133
cf-oh  401.6    1.3502         CORR_SOURCE5      58	 0.0102
cf-os  374.9    1.3710         CORR_SOURCE5      96	 0.0128
cf-p2  259.1    1.8140              SOUECE3       1	
