cc-n2  458.15   1.2914                2021      114   0.0069
cc-n   331.66   1.3837                2021      368   0.0086
cc-n4  226.49   1.5012                2021        6   0.0273
cc-na  335.50   1.3803                2021     4566   0.0085
cc-nc  356.03   1.3629                2021      534   0.0101
cc-nd  419.72   1.3158                2021     2640   0.0074
cc-ne  337.56   1.3785                2021       41   0.0102
cc-nf  456.66   1.2923                2021       14   0.0089
cc-nh  342.88   1.3739                2021      124   0.0113
cc-nm  298.70   1.4150                2021       22   0.0063
cc-no  284.50   1.4298                2021      238   0.0079
cc-ns  335.39   1.3804                2021      251   0.0077
cc-nu  339.63   1.3767                2021      212   0.0100
cc-nv  349.26   1.3685                2021      192   0.0098
cc-ny  242.00   1.4801                2021        1   0.0000
cc-o   594.24   1.2174                2021        4   0.0074
cc-oh  370.38   1.3468                2021      127   0.0078
cc-os  351.19   1.3622                2021     1041   0.0077
cc-p3  205.42   1.8319                2021        2   0.0007
cc-p5  174.27   1.8974                2021        1   0.0000
cc-pc  225.00   1.7966                2021        2   0.0027
cc-pd  240.8    1.7330             SOURCE3       84   0.0161
cc-py  214.30   1.8154                2021        2   0.0000
cc-s2  213.20   1.7852                2021        3   0.0055
c -cs  226.19   1.5393                2021        2   0.0008
cc-s   255.97   1.7168                2021        2   0.0195
cc-s4  221.20   1.7712                2021        2   0.0000
cc-s6  197.76   1.8141                2021        6   0.0108
cc-sh  222.19   1.7695                2021       14   0.0031
cc-sq  217.90   1.7769                2021        3   0.0006
cc-ss  231.66   1.7538                2021     1299   0.0097
cc-sx  200.07   1.8096                2021       23   0.0025
cc-sy  211.36   1.7885                2021       43   0.0108
c -cu  360.2    1.4120             SOURCE2        1         
c -cx  252.53   1.5035                2021      245   0.0110
c -cy  217.66   1.5520                2021      373   0.0059
cd-cd  321.49   1.4279                2021     2381   0.0093
cd-ce  390.21   1.3700                2021       81   0.0133
cd-cf  292.52   1.4570                2021      149   0.0081
cd-cg  341.2    1.4270             SOURCE1      560         
cd-ch  332.57   1.4176                2021       57   0.0046
cd-cl  200.42   1.7333                2021       41   0.0069
cd-cs  314.42   1.4347                2021       13   0.0082
cd-cx  271.59   1.4803                2021       13   0.0034
cd-cy  251.27   1.5051                2021       11   0.0006
cd-f   342.74   1.3440                2021        4   0.0040
cd-h4  367.29   1.0818                2021     1820   0.0012
cd-h5  366.81   1.0821                2021      538   0.0010
